name,description,categories,crisisLine,businessLine,website,email,address,fax,cityState,payment,zip,accessibility,hours,languages
ManKind at Marin Abused Women's Services,Program for male batterers ages 16-77. No documentation required. No special program for gay batterers. Must be clean and sober or in substance abuse program. SPA Line (415)924-3456.,"Perpetrators, 24-Hour Services",415-924-1070,415-457-6760,maws.org/mankind,mankind@c4dp.org,"1368 Lincoln Avenue, Suite",415-457-6457 #203,"San Rafael, CA",Sliding scale,94901,Wheelchair,,SPA
Marina Counseling Center,"Provides couselling to adults, couples, families and adolescents who are survivors of abuse and/or trauma",Counseling: Licensed,,415-563-2137,marinacounseling.com,,2137 Lombard St.,415-583-2158,"San Francisco, CA","Private insurance, $25-$100",94123,,M-F 8am-10pm,"SPA, HIN, HEB, FRE, ASL"
Martin de Porres House of Hospitality,"Serves a hot meal to anyone. Menu consists of soup, salad and bread at lunch and oatmeal and tea at breakfast.",Emergency Services,,415-552-0240,martindeporres.org,info@martindeporres.org,225 Potrero Ave,,"San Francisco, CA",Free,94103,,,
McAuley Institute at St. Mary's Medical Center,Inpatient counseling for adolescents ages 11-17. Guardians permission and documentation required.,"Counseling: Licensed, Support Groups",,415-750-4909,stmarysmedicalcenter.org/Medical_Services/198742,,2235 Hayes St.,415-750-4845,"San Francisco, CA","Private insurance, Sliding scale",94117,Wheelchair,24/7,"SPA, FRE, CHI"
Media Watch,"Feminist Media Critique and action group. Challenging racism, sexism, and violence in the media through education and direct action.",Policy Advocacy,,831-423-6355,mediawatch.com,info@mediawatch.com,501 Mission St,,"Santa Cruz, CA",,95060,,,
Medical Board of California,"To report abuse by a doctor, psychiatrist or psychologist. Complaint Line: 1-800- 633-2322","Counseling: Licensed, Legal: Services",,916-263-2382,medbd.ca.gov,webmaster@medbd.ca.gov,"2005 Evergreen St, Suite 1200",916-263-2944,"Sacramento, CA",,95815,Wheelchair,,SPA
Megan's Law: Sex Offender Identification Line,"Line which provides the public with information about California's registered sex offenders. Callers must identify themselves. Individuals or organizations concerned for a child's safety can call for a registrant's physical description, zip code, and referrals.",Hotlines,900-463-0400,916-227-4974,meganslaw.ca.gov,meganslaw@doj.ca.gov,P.O. Box 903387,,"Sacramento, CA",$10 each call,94203,,M-F 8am-5pm,
Mental Health Triage Warm Line,"Phone counseling. Keeps data on all regular callers, develops relationships with them and limits them to 3 calls per day.",Counseling: Warm Line,855-845-7415,,mentalhealthsf.org/,,,,"San Francisco, CA",,,,,
Mission Council on Alcohol Abuse for the SPA Speaking,"Outpatient, culturally relevant program for people seeking counseling for substance abuse. No documentation required. Have separate support groups for men and women. Domestic violence, anger management.","Support Groups, Latina/o & Hispanic, Substance Abuse",,415-864-0554,missioncouncil.org,vanessap@missioncouncil.org,474 Valencia St.,415-701-1868,"San Francisco, CA",Sliding scale,94103,Wheelchair,"M-F 9am-9pm, Sa 8:30am-5pm",SPA
Mission Family Services Center,"General outpatient counseling (individual & group) for youth. No documentation required. Must have guardian permission. Services include individual and group counseling, parenting classes. Drop-in for preschool kids.","Youth, Counseling: Licensed",,415-695-6955,,,759 South Van Ness,415-695-6963,"San Francisco, CA",Sliding scale,94110,Wheelchair,M-F 8am-5pm,SPA
Mission Neighborhood Center,"Various services for Mission District residents of San Francisco. Services include comprehensive preschool program, trainings/workshops and resource and referral services, senior program, ESL classes. Serves low income, Mission District residents","Elders (55+), Youth, Policy Advocacy",415-206-7752,415-206-7752,mncsf.org,contact@mncsf.org,362 Capp St.,415-647-6911,"San Francisco, CA",Free,94110,Wheelchair,M-F 8:30am-5pm,SPA
Mission Neighborhood Centers Youth Programs,"Case management, GED programs, gender specific after school / summer, year round support groups for girls, advocacy for youth on probation, outreach programs. Serves youth ages 6-23.",Youth,,415-206-7756,mncsf.org/youth.html,,534 Precita Ave.,415-648-5196,"San Francisco, CA",,,,M-F 9am-7pm,SPA
Mission Neighborhood Health Center,"Provides general medical care, including senior services and lab tests, AIDS, STD & Pregnancy testing. ID required. TDD: 415-552-8567","Medical/Health Services, HIV/AIDS, TDD",,415-552-1013,mnhc.org/,info@mnhc.org,240 Shotwell St,415-431-3178,"San Francisco, CA","Private insurance, Sliding scale",94110,,M-F 8:30am-5:30pm,
Mobile Assistance Patrol,Provides transportation to substance abuse services within the detox system. Provides shelter transportation. Serves homeless population ages 18+.,"Substance Abuse, Shelter/Transitional Housing, 24-Hour Services",,415-431-7400,,info@catsinc.org,1171 Mission St.,415-291-1193,"San Francisco, CA",Free,94103,Wheelchair,24/7,SPA
"Modecai Ettinger, SEP MA",Trained as a somatic Practitioner. Reiki practitioner and peer counselor. Serves clients ages 15+.,"Child Sexual Abuse (Adult, Client), Counseling: Peer, Child Sexual Abuse (Child Client), LGBQQ, Somatic Healing",,510-423-2778,bodyeclectic.net,mordecai@bodyeclectic.net,,,"Oakland, CA",$50-100,94602,,,SPA
Monterey County Rape Crisis Center,"CA Rape Crisis Center. Services include prevention programs, advocacy, community education, individual/group therapy, support groups for survivors of childhood sexual abuse, drop-in groups, and self-defense classes. Serves clients ages 13+. TDD: 831-373-7546","CA Rape Crisis Center, TDD",831-375-4357,831-373-3955,mtryrapecrisis.org,info@mtryrapecrisis.org,PO BOX 2630,831-373-3389,"Monterey, CA","Private insurance, Sliding scale",93942,Wheelchair,M-F 9am-5pm,"SPA , materials in braile"
Mountain Crisis Services,CA Rape Crisis Center- Mariposa,CA Rape Crisis Center,888-966-2350,209-742-5865,mountaincrisisservices.org/,info@mcs4you.org,PO Box 2075,209-742-4246,"Mariposa, CA",,95338,,,
Mujeres Unidas y Activas,"Non-profit organization serving the Latina community, including immigrants & lesbians. No documentation required. Services include self esteem support groups (must commit to 3-6 months), provides child care, referrals for immigration, domestic violence,& legal services. Focus on Latina immigrant women","Immigrant Resources, Latina/o & Hispanic, Legal: Services",,415-621-8140,mujeresunidas.net,mua@mujeresunidas.net,3543 18th St. #23,415-861-8969,"San Francisco, CA",Free,94110,,Tu-F 10am-6pm,SPA
Multi-Service Center South (MSC South),"Drop-in-center for the homeless providing showers, case management, information and referrals, emergency clothing and laundry facilities. Capacity for 45 women and 335 men. Shower: Su-Sa 9a-2p/4p-9p. Reservation Desk: Su-Sa 7-11a/5-8p. Drop-in center for men: Su-Sa 9a-2:30p. To enter lottery: Su-Sa 5a- 12p. Lottery result: Su-Sa 12:30p-6p","Shelter/Transitional Housing, 24-Hour Services",415-597-7960,,,,525 5th Street,415-597-7946,"San Francisco, CA",Free,94107,,,SPA
Napa Emergency Women's Services,CA Crisis Rape Center- Napa,"CA Rape Crisis Center, 24-Hour Services",707-255-6397,707-252-3687,napanews.org,info@napanews.org,1141 Pear Tree Ln. Suite 220,707-224-1560,"Napa, CA",,94558,,,
Narika,"Narika is a domestic violence helpline for abused South Asian women and children. Services include peer counseling, information and referrals, limited financial assistance, youth violence prevention program, small grants for women. Serves South Asian Women and their children","Counseling: Peer, Domestic Violence, Hotlines",800-215-7308,510-444-6068,narika.org,narika@narika.org,PO Box 14014,510-444-6025,"Berkeley, CA",Free,94712,Wheelchair,M-F 9am-5pm,
National Center for Lesbian Rights,"NCLR is a legal, advocacy, and public education organization. No documentation required. Services include assistance on legal issues, help finding LGBT-friendly lawyers natonwide. Legal resource center protects & enhances the legal rights of lesbians. Serves G/L families, All GLBT youth, people","Legal: Services, Significant Others, LGBQQ",,415-392-6257,nclrights.org,info@NCLRights.org,870 Market St. Suite #370,415-392-8442,"San Francisco, CA",Free,94102,Wheelchair,,SPA
National Center for Victims of Crime,"Resource and advocacy organization for crime victims and those who serve them. Provides direct services and resources to victims, advocates for law and public policies, delivers training and technical assistance, provides free referrals to attorneys for consultation. TDD: 800-211-7996","Hotlines, Legal: Services, TDD",800-FYI-CALL,202-467-8700,ncvc.org,webmaster@ncvc.org,"2000 M St. NW, Suite 480",202-467-8701,"Washington, DC",Free,20036,Wheelchair,M-F 8:30am-8:30pm,150+ languages
National Council on Alcoholism,"One hour, in person, consultation to best access the individual needs of a substance abuser and therefore provide them with the best referrals to treatment according to those needs. TDD: 415-296-1108","Substance Abuse, TDD",415-296-9900,415-296-9900,nca-ba.org/,info@nca-ba.org,"944 Market St., 3rd Floor",415-296-0626,"San Francisco, CA",$40 donation,94102,Wheelchair,M-F 9am-5pm,
National Network for Immigrant and Refugee Rights,"Composed of local coalitions and immigrant, refugee, community, religious, civil rights, and labor organizations. Develops and coordinates plans of action on important immigrant and refugee issues.","Immigrant Resources, Policy Advocacy",,510-465-1984,nnirr.org,nnirrinfo@nnirr.org,"310 8th st., Suite 303",510-465-1885,"Oakland, CA",,94607,Wheelchair,M-F 10am-6pm,SPA
National Runaway Switchboard,"National resources for runaway youth and their parents. Services include 24 Hr. crisis line, referrals, and information, can post messages, conference calls for youth and parents.","Youth, Significant Others, Hotlines, 24-Hour Services",800-786-2929,773-880-9860,1800runaway.org,,3080 N. Lincoln Ave,773-929-5150,"Chicago, IL",Free,60657,,24/7,
National Sexual Violence Resource Center,"Provides current information, statistics, and resources on sexual assault related topics. Also has access to a network of experts and other sexual violence prevention and intervention resources. TDD: 717-909-0715","Hotlines, TDD",,877-739-3895,nsvrc.org,resources@nsrrc.org,123 North Enola Dr.,717-909-0714,"Enola, PA",Free,17025,,,
Native American AIDS Project,"Serving Native American community with education around HIV pervention, case management, peer advocacy and mental health","HIV/AIDS, Native American/Indigenous",,415-431-6227,naap-ca.org,http://naap-ca.org/contact,1540 Market St. Ste 130,415-431-6257,"San Francisco, CA",,94102,,,
Native American Health Center,"Provides general medical services, including gynecological & dental services. Require ID for services. Family and child guidance, nutrition and fitness, traditional and alternative medicine. Also have offices in Oakland and Richmond, CA. Not limited to Native Americans.","Medical/Health Services, Native American/Indigenous",,415-621-8051,nativehealth.org,,160 Capp St.,415-621-3985,"San Francisco, CA","Private insurance, Sliding scale",94110,,M-F 9am-5pm,
New Dawn Treatment Centers,An eating disorder recovery program for clients ages 13+.,"Substance Abuse, Support Groups",866-969-4300,415-331-1383,newdawntreatmentcenters.com/,info@newdawnrecovery.com,2320 Marinship Way Suite 240,415-331-1392,"San Francisco, CA",,94965,,,
New Perspectives Center for Counseling,"Depression, anxiety, substance abuse and recovery, couples and family relationship issues, grief, illness. Provides individual, group, couples, family & child counseling. Counseling available at affordable rates. 2 other SF locations, phone # is not a crisis line. TDD: 415-752-5275","Counseling: Licensed, TDD",,415-752-5275,sfnewperspectives.org,info@sfnewperspectives.org,5026 Geary Blvd,,"San Francisco, CA",415-752-5275,94118,,M-Sa 9am-9pm,SPA
Night Ministry,Provides women with rides to shelters. **Drivers may be male** Answering service can take messages at other times.,Shelter/Transitional Housing,,415-441-0123,sfnightministry.org,,1031 Franklin St.,,"San Francisco, CA",Free,94109,,M-Su 10pm-2am,
"Norma Aguilar, LCSW","Private therapy practice, individual and family therapy to children and adults. Works with immigrants (bi-lingual therapist), survivors of adult & child sexual assault.","Immigrant Resources, Child Sexual Abuse (Child, Client) Counseling: Licensed",,415-282-0433,,,1102 Sanchez St.,,"San Francisco, CA","Private insurance, Sliding scale",94114,,,SPA
North Coast Rape Crisis Team: Solano,Immediate support services to survivors of sexual assault and their family and friends in Humbolt County.,CA Rape Crisis Center,707-445-2881,707-443-2737,,,PO BOX 1101,707-443-2755,"Eureka, CA",,95502,,24/7,
North County Rape Crisis and Child Protection Center,CA Rape Crisis Center- Lampoc. Alt Rape Crisis # 805-928-5334,"CA Rape Crisis Center, 24-Hour Services",805-736-7273,805-736-8535,sbcountyrapecrisis.org,karinpowers@verizen.net,511 East Ocean Ave.,805-736-8913,"Lompoc, CA",,93436,,,
Operation Care,CA Rape Crisis Center- Jackson. Toll Free # (800) 675-3392,"CA Rape Crisis Center, 24-Hour Services",209-223-2600,209-223-2897,operationcare.org,info@operationcare.org,619 New York Ranch Rd.,209-223-2687,"Jackson, CA",,95642,,,
Pacific Center for Human Growth,"Lesbian, gay, bisexual and transgender community service center. Provide low- cost counseling, peer support groups, info and referrals, community outreach, HIV advocacy, workplace sensitivity. Mental health clinic. Women/LGBT incest survivors support group. Drop in hours M-F 4pm-8pm","LGBQQ, Counseling: Peer, Support Groups",,510-548-8283,pacificcenter.org,info@pacificcenter.org,2712 Telegraph Ave.,510-548-2938,"Berkeley, CA","Private insurance, Sliding scale",94705,Wheelchair,M-F 10am-6pm,SPA
Pacific Institute,"Provide a variety of educational programs, mental health products and stories to clients. No documentation required.",Counseling: Licensed,,415-252-1128,pacificinstitute.org,info@pacificinstitute.org,624 Laguna Street,415-864-8904,"San Francisco, CA","Private insurance, Sliding scale",94102,,M-F 8am-5pm,"SPA, CHI"
Page Street Detox Center,"Mix of mental health and substance abuse services. Substance abuse treatment, detoxification. Residential short-term treatment (30 days or less). Serves people with co-occurring mental and substance abuse disorders, HIV+, women.","Substance Abuse, Counseling: Licensed, 24-Hour Services",,415-553-3252,,,120 Page St. 2nd Floor,,"San Francisco, CA",,94102,,24/7,
"Patrice Catanio, M.S., MFT",,Counseling: Licensed,,415-281-9715,,,2120 Market St. #209,,"San Francisco, CA",,94114,,"Tu 3pm-9pm, W 2pm-8pm, Th 10am-5pm, Sat 10am-5pm",
Peace for Families,CA Rape Crisis Center- Auburn,"CA Rape Crisis Center, 24-Hour Services",800-575-5352,530-823-6224,peaceforfamilies.org,mcoleman@peaceforfamiles.org,"11985 Heritage Oaks Place,",530-823-8497 Suite 200,"Auburn, CA",,95603,,,
Peace Over Violence,CA Rape Crisis Center- Los Angeles. Alt Rape Crisis #'s 626-793-3385; 310-382- 8381,"CA Rape Crisis Center, 24-Hour Services",213-626-3393,213-955-9090,peaceoverviolence.org,info@peaceoverviolence.org,1015 Wilshire Blvd. Suite 200,213-955-9093,"Los Angeles, CA",,90017,,,
Persons Against Non-State Torture,,Ritual Abuse,,902-895-2255,nonstatetorture.org,contact@nonstatetorture.org,391 Prince St.,,"Truro, Nova Scotia, Canada",,,,,
Phone-buddies.com Peer Counseling Community,Peer counseling service that can be set up online.,Counseling: Warm Line,,,phone-buddies.com,,,,,,,,,
"Phyllis S. Shulman, Ph.d.",Psychotherapy combines helping develop insight into unconsciously held beliefs as well as generating practical strategies for coping with the stresses of daily life. Services include Play therapy and coping skills for children; Ongoing feedback and education for parents; Psychotherapy for individual adults; Couple's therapy; extensive experience with survivors of sexual assault/molestation. Works with immigrants & refugees; LGBT; panic attack; people with eating disorders.,Counseling: Licensed,,415-731-4724,phyllsshulman.com,pshulmanphd@gmail.com,149 Evelyn Way,415-665-5454,"San Francisco, CA",Private insurance,94127,Wheelchair,,
Physician Assistant Committee,"The committee ensures that licensees have met minimum licensure requirements. The Physician Assistant Committee is a committee of the Medical Board of California. Services include consumer protection via licensure of physician assistants. Serves all California consumers, licensees. TDD: 800-735-2929","Hotlines, Medical/Health Services, TDD",800-633-2322,916-561-8780,pac.ca.gov,pacommittee@mbc.ca.gov,"2005 Evergreen St., St 1100",916-263-2671,"Sacramento, CA",,95815,Wheelchair,M-F 8am-5pm,
Planned Parenthood San Francisco Health Center,"Helping women, men and teens make responsible chices. Includes physicians, nurse practitioners, nurses, clinicians, medical assistants, community educators and information specialists. Services include reproductive health, emergency contraception, abortion, birth control and primary care, premarital blood tests, contraceptive and sex education, confidential services for all ages 13+.",Medical/Health Services,800-230-7526,415-821-1282,plannedparenthood.org/health-center/centerDetails.asp?f=3997&a=90200&v=details,,1650 Valencia St,415-821-9047,"San Francisco, CA","Private insurance, Sliding scale",94110,Wheelchair,"M-Tu 8:30am-8pm, W-F-Sa 8:30am-5pm, Th 7am-5pm","SPA, TGL"
Plumas Crisis Intervention,CA Rape Crisis Center- Quincy. Toll Free Crisis # 877-332-2754,CA Rape Crisis Center,877-215-7273,530-283-5515,pcirc.info,agaudet@pcirc.org,591 W. Main St.,530-283-3539,"Quincy, CA",,95971,,M-F 9am-5pm,
POCOVI,"Program for male batterers. Classroom model which focuses on re-education, not therapy. Men may drop-in on classes, enroll in program at any point. No special program for gay men. Has Latino Men's Program. Provide public presentations and trainings. Male domestic violence counseling. No documentation required. ID required. Must be clean & Sober. Ages 16+. Other: (415-924-1070)","Perpetrators, 24-Hour Services",415-244-6904,415-552-1361,,pocovi@msn.com,"474 Valencia St., Ste 150",415-552-1361,"San Francisco, CA",Sliding scale,94103,Wheelchair,,SPA
Pomeroy Recreation & Rehabilitation Center (formerly Janet Pomeroy Center),"Social recreation program for kids, adults & senior with mental or physical disabilities. Also has weekend respite program & a social worker. ID required. Ages 5+. TDD: 415-665-4107","Disability, TDD",,415-665-4100,prrcsf.org/,,207 Skyline Blvd.,415-665-7543,"San Francisco, CA",,94132,Wheelchair,M-F 9am-5pm,Some SPA
Potrero Hill Neighborhood House,"Multipurpose, multigenerational community center in continuous operation serving those in need from the ""cradle to the grave"" with an emphasis on youth and education. Serves San Francisco youth ages 14-18 and seniors.","Youth, Elders (55+)",,415-826-8080,phnhsf.org/,,953 De Haro St.,415-826-5252,"San Francisco, CA",Free,94107,Wheelchair,M-F 8:30am-5pm,"SPA, TGL, FRE"
Project Homeless Connect,"One stop shop for services. Services include DMV ID, legal, medical, vision, dental, mental health, employment, benefits, family services and much more. Serves homeless, low income, underserved SF citizens.","Substance Abuse, Job/Employment Services, Legal: Attorney, Medical/Health Services, Shelter/Transitional Housing",,415-503-2123,projecthomelessconnect.com,info@projecthomelessconnect.com,25 Van Ness Ave Ste 340,415-503-2099,"San Francisco, CA",,,Wheelchair,M-F 9am-5pm,
Project Open Hand,"Provides food for people with symptomatic or disabling HIV or AIDS, seniors, the homebound/critically ill. Letter of diagnosis and proof of SF residency required.","Emergency Services, HIV/AIDS",800-551-6325,415-447-2300,openhand.org,,730 Polk St,415-447-2490,"San Francisco, CA",,94109,,M-F 9am-4pm,
"Project Sanctuary, Inc: Mendocino","Project Sanctuary is a domestic violence and sexual assault crisis center. Address 5645 Dora st 95482. Services include 24 hour crisis line, 15-bed shelter, and provide individual counseling and support groups for women and men who have experienced physical or sexual violence. Ages 12+.",CA Rape Crisis Center,800-463-4357,707-462-9196,projectsanctuary.org,projsanc@projectsanctuary.org,PO Box 450,707-462-5869,"Ukiah, CA",Free,95482,Wheelchair,M-F 8:30am-4:30pm,SPA
Project Sister Services,CA Rape Crisis Center- Pomona. Alt Crisis # 626-966-4155,CA Rape Crisis Center,909-626-4357,909-623-1619,projectsister.org,info@projectsister.org,PO Box 1369,909-622-8389,"Pomona, CA",,91769,,,
Project Survive,"SURVIVE provides free, confidential legal help to individuals of all backgrounds and cultures who face problems at work because they are victims of domestic violence, sexual assult, or stalking. Toll Free #888-864-8335. TDD: 800-787-3224","Legal: Attorney, Job/Employment Services, Immigrant Resources, TDD",888-864-8335,415-864-8848,las-elc.org,,180 Montgomery St. Ste 600,415-593-0096,"San Francisco, CA",Free,94104,,,
Project Survive/ Expect Respect SF,"Promote healthy relationships by presenting workshops on the differences between abusive and non-abusive intimate relationships. Collaborates with CBO's who serve SFUSD high schools with healthy relationship workshops. Serves CCSF students, SFUSD high school students.","Youth, Self-Defense",877-923-0700,415-239-3899,ccsf.edu/psurvive,lsimon@ccsf.edu,50 Phelan Ave,,"San Francisco, CA",Free,94112,Wheelchair,"M-Th 9am-5pm, F 9am-1pm",
Psychological Services Center,Short or long term counseling and psychotherapy for individuals and couples with general emotional - psychological concerns,Counseling: Licensed,,415-346-1011,psychservicescenter.com/,aberezovskaya@ciis.edu,"507 Polk St, Suite 420",415-575-1264,"San Francisco, CA",Sliding scale,94109,,M-F 9am-8pm,
Rahima Foundation,"Offers a wide variety of services and resources, food distribution, immediate need and more for Muslim clients.",Immigrant Resources,,408-845-0050,rahima.org,mail@rahima.org,2302 Calle Del Mundo,,"Santa Clara, CA",,95054,,M-Th 10am-2pm,
Rape Counseling Services of Fresno,"Devoted to the healing and empowerment of victims and survivors affected by sexual assault and family violence. Also have services in Coalinga, CA and Firebaugh, CA",CA Rape Crisis Center,559-222-7273,559-497-2900,rcsfresno.com,www.rcsfresno.org/#!contact-us/cwk7,259 N. Blackstone Ave.,559-497-2911,"Fresno, CA",Free,93701,,M-F 8am-5pm,"SPA, materials in braile"
Rape Crisis Intervention and Prevention,"Accompaniment, advocacy, counseling and support groups, rape prevention education in the community. Services include workshops for Adults Molested As Children or significant others, assertiveness workshops, community education. Child assault prevention. Collect calls are accepted. Ages 12+. Have some resources for people with developmental disabilities.",CA Rape Crisis Center,530-342-7273,530-891-1331,rapecrisis.org,info@rapecrisis.org,P.O. Box 423,530-891-3680,"Chico, CA",Free,95927,Wheelchair,M-F 9am-5pm,SPA
Rape Trauma Services of San Mateo County,"Rape crisis center and violence prevention. Services include 24 hour crisis line and on-going counseling, legal and medical accompaniment, education programs","CA Rape Crisis Center, 24-Hour Services",650-692-7273,650-652-0598,rapetraumaservices.org,info@rapetraumaservices.org,"1860 El Camino Real, Suite 406",650-652-0596,"Burlingame, CA",Free,94010,Wheelchair,M-F 9am-5pm,SPA
Rape Treatment Center- Santa Monica,CA Rape Crisis Center- Santa Monica. Alt Crisis # 310-319-4000,CA Rape Crisis Center,310-319-4503,310-319-4000,911rape.org,gabarbanel@mednet.ucla.edu,1250 16th St.,310-319-4809,"Santa Monica, CA",,90404,,,
"Rape, Abuse, Incest National Network (RAINN)",National 24 Hr. Rape crisis counseling and referrals. When you call RAINN it automatically redirects your call to your local RCC based on the area code of your phone number. Clients should NOT use RAINN if they have VOIP phone service. It will misdirect their call.,Hotlines,800-656-4673,202-544-1034,rainn.org,info@rainn.org,"2200 L St. NW, #505",,"Washington D.C.,",,20005,,24/7,
Raphael House of San Francisco,"Shelter for families (including women in the last month of pregnancy). Length of stay varies. No documentation required. Must be clean & sober. They do have services for domestic violence, but will try to help a woman get into a safe house. Serves homeless clients ages 18+/Emancipated.",Shelter/Transitional Housing,,415-474-4621,raphaelhouse.org,info@raphaelhouse.org,1065 Sutter St,415-474-7020,"San Francisco, CA",$2-3/day,94109,Wheelchair,M-F 9am-5pm,SPA
Red Gem Bodyworks,"Bodyworker specializing in acupressure, deep tissue, Swedish massage. Gay practitioner, Queer friendly. Most clientelle are queer, butch and trans women.",Body Work,,415-990-4102,redgembodyworks.com,redgembodyworks@hotmail.com,Private home services,,"San Francisco, CA",$65-110 for 60-90 min,,,,
Refugee Transitions,"Aid refugee and immigrant families in their effort to become self-sufficient. Also have locations in Oakland and Sunnyvale, CA. Volunteers teach English, encourage home-bound refugee and immigrant adults to break the patterns of isolation and withdrawal through friendship, personal guidance, and companionship. Serves newly arrived refugees & immigrants who don't yet speak English.",Immigrant Resources,,415-989-2151,reftrans.org,info@reftrans.org,870 Market St. Ste. 718,415-989-2153,"San Francisco, CA",Free,94102,Wheelchair,M-F 10am-6pm,
Relaspe Line (San Francisco Suicide Prevention),The Drug Information Line and Relapse Line provides supportive counseling information and a wide range of referrals to people with alcohol or other dependencies.,"Hotlines, 24-Hour Services",415-834-1144,,sfsuicide.org/our-programs/drug-and-relapse-lines/,,600 Market st,,"San Francisco, CA",,94104,,24/7,
Rik Center,"Somatic healing and life coaching to dissolve depression, panic, grief, physical discomforts, childhood trauma, mental illnesses, recurring chronic health symptoms, etc. Scholarships available for approved appicates of the program.",Somatic Healing,,415-786-5456,comingintobalance.com,info@comingintobalance.com,P.O. Box 640334,,"San Francisco, CA",$100/session,94164,,,
Riley Center,"DV services for women. CPS Differential Response. CalWORKS domestic violence services. Services include 12-wk emergency shelter program: peer counseling, support groups, case management, clothing, food. 18- month transitional housing program. 24-hour crisis line ahd shelter. Community education & volunteer program outreach, drop-in counseling. Serves battered women, child witnesses to domestic violence, trafficked women, sex workers abused by pimps.","Shelter/Transitional Housing, Hotlines, Domestic Violence",415-255-0165,415-552-2943,rileycenter.org,co.rileycenter.org,1175 Howard St,415-552-0337,"San Francisco, CA",Free,94103,Wheelchair,M-F 9am-5pm,"SPA, CAN, CHI, Varies"
RISE (fromerly Sexual Assualt Recovery and Prevention Center of SLO County),CA Rape Crisis Center- San Luis Obispo,CA Rape Crisis Center,885-886-7473,805-226-5400,riseslo.org/,contact@RISEslo.org,51 Zaca Ln. Suite 140,805-545-5841,"San Luis Obispo, CA",,93401,,,
Riverside Area Rape Crisis,Rape Crisis Center- Riverside,CA Rape Crisis Center,951-686-7273,951-686-7273,rarcc.org,info@rarcc.org,1845 Chicago Ave. Suite A,951-686-0839,"Riverside, CA",,92507,,,
SAFE (Safety Awareness For Everyone),"S.F. SAFE, Inc. is a community crime prevention organization that works in cooperation with the S.F. police department to help residents protect themselves from becoming victims. Provides personal safety presentations to all ages and groups, helps neighborhood watch groups.",Hotlines,415-673-7233,415-553-1984,sfsafe.org,info@sfsafe.org,850 Bryant St Room #135,415-553-1967,"San Francisco, CA",Free,94103,Wheelchair,M-F 8:30am-5:30pm,"SPA, RUS, CHI"
SAFE Place at SF State,"Sexual Abuse Free Environment (SAFE) Located in the Student Services Building #205. Services include Rape Prevention education, crisis counseling and advocacy for S.F. State University students, staff, and faculty. Similar resources for battering and sexual harrassment. Peer education. Serves students, staff and faculty ages 17+.","Counseling: Peer, Policy Advocacy",415-338-2222,415-338-2208,sfsu.edu/~safe_plc/,chaya@SFSU.EDU,1600 Holloway Ave.,415-338-6149,"San Francisco, CA",Free to SFSU,94132,Wheelchair,M-F 8am-5pm,
Safe Start Initiative (San Francisco Child Abuse Prevention Center),"case management; advocacy; support groups; translation; education; finding child care, food and shelter; counseling; referrals. Serves children, families with children ages 6 and under exposed to violence","Child Sexual Abuse (Child, Client) Hotlines, Significant Others",415-441-5437,415-668-0494,sfcapc.org,safestart@sfcapc.org,1757 Waller St,,"San Francisco, CA",Free,94117,,"M-Th 9am-2pm, M 5pm-7pm","SPA, CAN + 150"
SafeQuest Solano,"SafeQuest has provided life saving services to rape and domestic abuse victims in Solano County for over 30 years. Services include shelter, restraining order assistance, legal/medical accompaniments, self-defense classes, batterers' intervention program.",CA Rape Crisis Center,866-487-7233,707-422-7345,safequest.us,,P.O. Box 368,707-422-7276,"Fairfield, CA",Free,94533,,,SPA
Salvation Army Adult Rehab Center,"No documentation required. Provides emergency food, crisis intervention, case management to families who are homeless or in danger of becoming homeless. Serves clients ages 18+ or 18- with parents.","Emergency Services, Shelter/Transitional Housing",,415-643-8000,salvationarmy.usawest.org,Anna.Phillips@usw.salvationarmy.org,1500 Valencia St.,415695-0647,"San Francisco, CA",Free,94110,Wheelchair,,SPA
San Bernardino County Sexual Assault Services Inc.,CA Rape Crisis Center- San Bernardino. Alt Crisis # 760-568-9071,CA Rape Crisis Center,909-885-8884,909-885-8884,sbsas.org,candyir@aol.com,"444 N. Arrowhead, Suite 101",909-885-8478,"San Berardino, CA",,92401,,,
Santa Barbara Rape Crisis Center,"The SBRCC is a non-profit, social change, community based organization working to a feminist vision of a world free from oppression and violence. Services include counseling, crisis intervention, support services for sexual assault survivors & families. Serves clients ages 12+. TDD: 805-569-2255","CA Rape Crisis Center, TDD",805-564-3696,805-963-6832,sbrapecrisiscenter.org/,sbrcc@sbrcc.net,433 E. Canon Perdido St.,805-965-3271,"Santa Barbara, CA",Private insurance,93101,Wheelchair,M-F 9am-5pm,SPA
Santa Barbara- Women's Center,CA Rape Crisis Center- Santa Barbara,CA Rape Crisis Center,,805-839-3778,sa.ucsb.edu/women,melanie.matson@su.ucsb.edu,1220 Student Resource Building,805-893-3289,"Santa Barbara, CA",,93106,,M-Th 9am-8pm F 9am-5pm,
